protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,19,failed,50,200|all,119,False,TRIMMED_10PCT,33.7482648132,1,0.11,0.90756302521,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,100,100,False,CURRENT_MAX,14276.0297134,0.0264900662252,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,100,100,False,TRIMMED_5PCT,39.5082341935,1,0.05,0.95,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,100,100,False,TRIMMED_10PCT,35.7154138332,1,0.13,0.9,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,200|all,119,False,CURRENT_MAX,14276.0297134,0.0264900662252,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,200|all,119,False,STANDARD_CONFORMAL,14276.0297134,0.0264900662252,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,200|all,119,False,TRIMMED_5PCT,39.5082341935,1,0.05,0.957983193277,0.99,True,True
calibration-tail-robustness-v1.0.0,19,failed,100,200|all,119,False,TRIMMED_10PCT,36.5840159095,1,0.08,0.90756302521,0.99,True,True
calibration-tail-robustness-v1.0.0,0,control,10,100,100,False,CURRENT_MAX,1.71408877453e+12,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,100,100,False,TRIMMED_5PCT,11442156.1076,0.181456953642,0.05,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,100,100,False,TRIMMED_10PCT,558356.944209,0.25298013245,0.09,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,200|all,119,False,CURRENT_MAX,1.71408877453e+12,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,200|all,119,False,STANDARD_CONFORMAL,1.71408877453e+12,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,200|all,119,False,TRIMMED_5PCT,12759992.0834,0.180132450331,0.04,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,10,200|all,119,False,TRIMMED_10PCT,558356.944209,0.25298013245,0.09,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,100,100,False,CURRENT_MAX,1744318.66909,0.046357615894,0,1,0.99,False,False
