detector,commissioning_size,seed,false_positive_rate,recall,success,threshold,retained_features,target_weight
SourceOnly,100,12,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,100,12,0.0,0.6662251655629139,False,45.45214260172983,542,
RACE,100,12,0.0,0.7655629139072848,False,38.42222624165071,542,0.625
TargetOnly,100,13,0.0,0.0,False,12964.932901373271,533,
SourceOnly,100,13,0.01,0.5364238410596026,False,58.514499212873325,540,
Pooled,100,13,0.0,0.5046357615894039,False,56.29856365654574,542,
RACE,100,13,0.0,0.3072847682119205,False,67.73275214108376,542,0.625
TargetOnly,100,14,0.0,1.0,True,77.174944599365,534,
SourceOnly,100,14,0.02,0.5364238410596026,False,58.514499212873325,540,
Pooled,100,14,0.0,0.49933774834437084,False,56.16680183090769,542,
RACE,100,14,0.0,0.30993377483443707,False,67.26106252872256,542,0.625
TargetOnly,100,15,0.0,1.0,True,42.322140422830756,535,
SourceOnly,100,15,0.01,0.5086092715231788,False,61.9680020221807,540,
Pooled,100,15,0.0,0.46357615894039733,False,58.96271319588349,542,
RACE,100,15,0.0,0.3086092715231788,False,71.45626009565919,542,0.625
TargetOnly,100,16,0.04,1.0,False,38.698361225027774,535,
SourceOnly,100,16,0.01,0.5364238410596026,False,58.514499212873325,540,
Pooled,100,16,0.0,0.5086092715231788,False,56.05256280116994,542,
RACE,100,16,0.0,0.3165562913907285,False,68.82701623161626,542,0.625
TargetOnly,100,17,0.0,0.0,False,13442.8728199422,534,
SourceOnly,100,17,0.01,0.6119205298013245,False,51.03482439502576,540,
Pooled,100,17,0.0,0.6516556291390728,False,46.52440042023889,543,
RACE,100,17,0.0,0.45165562913907287,False,54.03784213789587,543,0.625
TargetOnly,100,18,0.0,1.0,True,143.64410818632922,533,
SourceOnly,100,18,0.01,0.7814569536423841,False,43.99057039074646,540,
Pooled,100,18,0.01,0.9973509933774835,True,33.92538136994995,542,
RACE,100,18,0.01,0.9774834437086093,True,34.37490552479482,542,0.625
TargetOnly,100,19,0.01,1.0,True,74.13551433491502,535,
SourceOnly,100,19,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,100,19,0.0,0.7880794701986755,False,41.05919927259769,542,
RACE,100,19,0.02,0.9947019867549669,False,33.4083791843945,542,0.625
