protocol_version,seed,N,detector,calibration_method,calibration_request,calibration_size,threshold,threshold_min,threshold_max,threshold_rank,finite_sample_alpha_supported,trimmed_count,recall,false_positive_rate,empirical_coverage,success,episode_1710_present,episode_1710_score,episode_1710_determines_any_threshold,episode_1710_threshold_fraction,episode_1710_neighbor_fraction,retained_features
calibration-tail-robustness-v1.0.0,0,100,RACE,CONTEXT_CONDITIONAL,100,100,28.9278928097,28.9278928097,28.9278928097,100,True,0,1,0.01,0.99,True,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,100,RACE,TRIMMED_SENSITIVITY,100,100,27.4514481318,27.4514481318,27.4514481318,99,True,1,1,0.01,0.99,True,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,100,RACE,MAX_SCORE,all,119,37.3417996278,37.3417996278,37.3417996278,119,False,0,0.823841059603,0,1,False,True,37.3417996278,True,1,1,542
calibration-tail-robustness-v1.0.0,0,100,RACE,FINITE_SAMPLE,all,119,37.3417996278,37.3417996278,37.3417996278,119,True,0,0.823841059603,0,1,False,True,37.3417996278,True,1,1,542
calibration-tail-robustness-v1.0.0,0,100,RACE,CONTEXT_CONDITIONAL,all,119,37.3417996278,27.4514481318,37.3417996278,100,True,0,0.823841059603,0,1,False,True,37.3417996278,True,0.94269005848,0.94269005848,542
calibration-tail-robustness-v1.0.0,0,100,RACE,TRIMMED_SENSITIVITY,all,119,28.9278928097,28.9278928097,28.9278928097,118,True,1,1,0.01,0.99,True,True,37.3417996278,False,0,1,542
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,MAX_SCORE,100,100,21907.4031655,21907.4031655,21907.4031655,100,False,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,FINITE_SAMPLE,100,100,21907.4031655,21907.4031655,21907.4031655,100,True,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,CONTEXT_CONDITIONAL,100,100,21907.4031655,21907.4031655,21907.4031655,100,True,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,TRIMMED_SENSITIVITY,100,100,21907.2335162,21907.2335162,21907.2335162,99,True,1,0.569536423841,0.02,0.98,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,MAX_SCORE,all,119,21907.4031655,21907.4031655,21907.4031655,119,False,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,FINITE_SAMPLE,all,119,21907.4031655,21907.4031655,21907.4031655,119,True,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,CONTEXT_CONDITIONAL,all,119,21907.4031655,21907.2335162,21907.4031655,100,True,0,0.56821192053,0.01,0.99,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,TargetOnly,TRIMMED_SENSITIVITY,all,119,21907.2335162,21907.2335162,21907.2335162,118,True,1,0.569536423841,0.02,0.98,False,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,10,RACE,MAX_SCORE,100,100,55.4414048614,55.4414048614,55.4414048614,100,False,0,0.466225165563,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,FINITE_SAMPLE,100,100,55.4414048614,55.4414048614,55.4414048614,100,True,0,0.466225165563,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,CONTEXT_CONDITIONAL,100,100,55.4414048614,55.4414048614,55.4414048614,100,True,0,0.466225165563,0,1,False,False,,False,0,0,542
