protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,1,10,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,20.1257025314,100,True,False,0.290066225166,0,False,0.81417218543,0.97265347024,1.06006483666,2016,1,518,0.00245173745174,0.00266409266409,0.0155232810862,1
bounded-robust-whitening-v1.0.0,1,10,RACE,BOUNDED_ROBUST_WHITENING,3,primary,7.66242266643,100,True,False,0.0317880794702,0,False,0.258463576159,0.825093119658,1.03447140753,1965,1,518,0.00366795366795,0.00368725868726,0.00241376665218,0.142857142857
bounded-robust-whitening-v1.0.0,1,10,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,6.70542475307,100,True,False,0.035761589404,0,False,0.266635761589,0.826767908433,1.00653974799,1965,1,518,0.00563706563707,0.00571428571429,0.00336239740213,0.142857142857
bounded-robust-whitening-v1.0.0,1,10,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,8.86151885234,100,True,False,0.0225165562914,0,False,0.26821192053,0.841016460733,1.03631168382,1965,1,518,0.0022972972973,0.00218146718147,0.00158531284359,0.142857142857
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,CURRENT_MAHALANOBIS,none,reference,110.466576365,100,True,False,1,0,True,1,1,1.82401845459,1840,1,529,0,0,0,
bounded-robust-whitening-v1.0.0,1,25,RACE,CURRENT_MAHALANOBIS,none,reference,56.9127846499,100,True,False,0.405298013245,0,False,0.989205298013,0.997975322598,1.59984394619,1771,1,542,0,0,0,0.294117647059
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,ROBUST_DIAGONAL,3,primary,36.6561502865,100,True,False,0.361589403974,0,False,0.957311258278,0.993825441476,1.04046860552,1962,1,515,0.0385631067961,0.0360582524272,0.125709509419,
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,33.6360690526,100,True,False,0.345695364238,0,False,0.948052980132,0.992434417242,1.01928853245,1962,1,515,0.0560776699029,0.0552427184466,0.162579566643,
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,41.3997101267,100,True,False,0.37880794702,0,False,0.967801324503,0.995437558689,1.06337262475,1962,1,515,0.0253786407767,0.0233203883495,0.0860721404231,
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,8.60616650767,100,True,False,0.0807947019868,0,False,0.786039735099,0.966710513476,1.04238936659,1742,1,515,0.0032427184466,0.00227184466019,0.00536745322446,1
