detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
Pooled,10,7,59.38857144410209,59.38857144410197,0.01,0.01,0.5165562913907285,0.5165562913907285,542,542,,,True
RACE,10,7,57.37636391176093,57.37636391176097,0.0,0.0,0.4463576158940397,0.4463576158940397,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,7,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,25,7,28437.743511670902,28437.743511670884,0.0,0.0,0.5417218543046357,0.5417218543046357,529,529,,,True
Pooled,25,7,58.10917144474538,58.10917144474529,0.01,0.01,0.5152317880794702,0.5152317880794702,542,542,,,True
RACE,25,7,55.74634636492877,55.74634636492865,0.01,0.01,0.41721854304635764,0.4172185430463576,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,7,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,50,7,39.259689198079684,39.25968919807966,0.01,0.01,1.0,1.0,531,531,,,True
Pooled,50,7,57.879892962600245,57.87989296260011,0.01,0.01,0.5165562913907285,0.5165562913907285,542,542,,,True
RACE,50,7,60.70266743336043,60.70266743336033,0.01,0.01,0.40264900662251657,0.4026490066225165,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,7,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,100,7,39.988171903460334,39.988171903460334,0.01,0.01,1.0,1.0,532,532,,,True
Pooled,100,7,58.26247916922068,58.26247916922076,0.01,0.01,0.5086092715231788,0.5086092715231788,542,542,,,True
RACE,100,7,71.04171563316953,71.04171563316937,0.01,0.01,0.38675496688741723,0.3867549668874172,542,542,0.625,0.625,True
SourceOnly,10,8,43.99057039074653,43.99057039074639,0.02,0.02,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,10,8,127.4501456452259,127.4501456452259,0.02,0.02,1.0,1.0,527,527,,,True
Pooled,10,8,57.217226985015586,57.21722698501561,0.01,0.01,0.5933774834437087,0.5933774834437087,542,542,,,True
RACE,10,8,37.38728376789839,37.38728376789836,0.02,0.02,0.7350993377483444,0.7350993377483444,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,8,43.99057039074653,43.99057039074639,0.02,0.02,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,25,8,126.3017640831791,126.30176408317904,0.01,0.01,1.0,1.0,532,532,,,True
Pooled,25,8,43.112728104243686,43.11272810424365,0.02,0.02,0.7920529801324503,0.7920529801324503,542,542,,,True
RACE,25,8,31.020036548942958,31.02003654894299,0.04,0.04,0.9602649006622517,0.9602649006622516,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,8,43.99057039074653,43.99057039074639,0.02,0.02,0.7814569536423841,0.7814569536423841,540,540,,,True
