seed,commissioning_size,detector,threshold,representative_threshold_episode_id,all_threshold_episode_ids,threshold_tie_count,max_score,second_max_score,max_second_ratio,max_second_gap,semantic_context,false_positive_rate,recall,retained_features,target_weight,exploratory_cluster
3,25,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,42.008934249455876,1.4968313463436564,20.871355361619308,UNAVAILABLE,0.0,0.49933774834437084,540,,0
3,25,TargetOnly,75.46479657928555,1962,1962,1,75.46479657928555,42.0016264480115,1.7967112933756,33.46317013127405,UNAVAILABLE,0.0,1.0,530,,0
3,25,Pooled,38.408018642606805,1801,1801,1,38.408018642606805,37.79404391103778,1.0162452775102404,0.6139747315690229,UNAVAILABLE,0.01,0.9602649006622517,542,,0
3,25,RACE,30.61890514144953,1861,1861,1,30.61890514144953,27.35002371205245,1.119520241145406,3.26888142939708,UNAVAILABLE,0.0,0.9562913907284768,542,0.29411764705882354,0
3,50,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,42.008934249455876,1.4968313463436564,20.871355361619308,UNAVAILABLE,0.0,0.49933774834437084,540,,0
3,50,TargetOnly,76.54215649804942,1962,1962,1,76.54215649804942,38.508314967172446,1.987678675717181,38.03384153087698,UNAVAILABLE,0.0,1.0,532,,0
3,50,Pooled,37.27369898404782,1861,1861,1,37.27369898404782,33.08484598267759,1.1266094151855326,4.1888530013702265,UNAVAILABLE,0.01,0.9721854304635762,542,,0
3,50,RACE,29.726302730686147,1861,1861,1,29.726302730686147,26.42240113858018,1.1250416862107901,3.303901592105966,UNAVAILABLE,0.0,0.9960264900662251,542,0.45454545454545453,0
3,100,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,42.008934249455876,1.4968313463436564,20.871355361619308,UNAVAILABLE,0.0,0.49933774834437084,540,,0
3,100,TargetOnly,45.89544587524323,1962,1962,1,45.89544587524323,37.38124228112976,1.2277667373941579,8.514203594113475,UNAVAILABLE,0.0,1.0,533,,0
3,100,Pooled,37.07565376074965,1861,1861,1,37.07565376074965,29.98000295567261,1.236679456488661,7.095650805077042,UNAVAILABLE,0.0,0.9536423841059603,542,,0
